Date,Open,High,Low,Close,Volume
2024-08-20,150.0,151.62,149.32,150.69,177351
2024-08-21,150.69,151.86,146.16,146.28,727631
2024-08-22,146.28,146.29,144.83,145.58,550316
2024-08-23,145.58,147.34,144.6,147.28,433718
2024-08-26,147.28,149.07,146.95,148.31,899100
2024-08-27,148.31,150.31,148.15,150.27,157435
2024-08-28,150.27,151.37,148.59,148.73,710127
2024-08-29,148.73,149.21,147.62,147.95,800545
2024-08-30,147.95,149.25,146.05,148.86,429978
2024-09-02,148.86,149.59,147.17,147.72,970758
2024-09-03,147.72,150.32,146.97,150.22,397176
2024-09-04,150.22,152.36,149.73,151.69,304218
2024-09-05,151.69,151.9,150.07,150.17,908278
2024-09-06,150.17,152.34,149.56,152.14,359495
2024-09-09,152.14,152.55,151.56,152.29,524410
2024-09-10,152.29,152.72,150.98,151.56,734648
2024-09-11,151.56,152.92,150.15,150.93,688985
2024-09-12,150.93,151.24,146.98,147.12,523986
2024-09-13,147.12,149.05,146.42,148.42,642554
2024-09-16,148.42,149.18,147.22,147.39,127736
2024-09-17,147.39,148.39,143.75,144.57,870103
2024-09-18,144.57,145.48,144.2,144.88,353245
2024-09-19,144.88,145.77,144.61,145.22,476162
2024-09-20,145.22,145.54,143.45,143.78,832618
2024-09-23,143.78,144.2,140.8,141.2,910559
2024-09-24,141.2,142.6,140.64,142.22,550940
2024-09-25,142.22,142.58,141.94,142.01,646476
2024-09-26,142.01,143.14,138.08,138.93,425631
2024-09-27,138.93,140.51,138.61,139.76,787806
2024-09-30,139.76,140.38,138.23,139.01,972258
2024-10-01,139.01,139.8,138.3,138.58,214819
2024-10-02,138.58,138.95,134.8,134.99,510198
2024-10-03,134.99,136.16,133.73,133.79,543486
2024-10-04,133.79,134.27,132.5,134.26,747516
2024-10-07,134.26,135.08,133.63,133.77,808197
2024-10-08,133.77,137.17,133.49,136.5,137452
2024-10-09,136.5,140.47,135.98,139.5,369993
2024-10-10,139.5,140.65,138.15,138.68,932608
2024-10-11,138.68,139.91,137.38,138.22,520396
2024-10-14,138.22,141.61,135.8,139.96,804461
2024-10-15,139.96,141.66,138.17,140.83,826837
2024-10-16,140.83,141.18,138.59,139.11,340278
2024-10-17,139.11,140.0,138.69,138.82,588544
2024-10-18,138.82,140.21,136.26,136.66,226224
2024-10-21,136.66,138.11,136.44,136.55,388611
2024-10-22,136.55,137.52,134.74,135.53,196966
2024-10-23,135.53,137.26,133.39,134.05,514030
2024-10-24,134.05,134.8,131.93,132.24,827426
2024-10-25,132.24,132.27,131.41,131.93,262631
2024-10-28,131.93,132.9,130.02,131.03,248147
2024-10-29,131.03,132.61,130.9,131.37,301076
2024-10-30,131.37,132.96,131.19,131.93,904101
2024-10-31,131.93,132.8,130.78,131.12,762955
2024-11-01,131.12,132.44,130.04,131.48,772110
2024-11-04,131.48,136.09,131.33,134.73,772065
2024-11-05,134.73,138.58,134.01,137.69,261341
2024-11-06,137.69,139.34,137.68,139.01,490328
2024-11-07,139.01,140.89,138.94,139.72,229507
2024-11-08,139.72,142.79,139.68,141.07,934752
2024-11-11,141.07,141.81,138.21,138.49,724836
2024-11-12,138.49,141.49,138.46,140.39,490452
2024-11-13,140.39,141.83,140.12,141.42,211378
2024-11-14,141.42,144.0,140.29,143.55,568920
2024-11-15,143.55,143.74,141.84,142.05,357801
2024-11-18,142.05,143.35,141.97,142.43,773943
2024-11-19,142.43,149.41,141.7,147.8,477202
2024-11-20,147.8,149.1,146.64,147.17,862281
2024-11-21,147.17,150.47,146.59,149.83,116053
2024-11-22,149.83,149.97,144.05,145.0,939901
2024-11-25,145.0,150.27,144.24,149.81,880965
2024-11-26,149.81,151.39,148.28,149.6,577914
2024-11-27,149.6,150.58,145.06,146.71,323055
2024-11-28,146.71,154.13,146.39,153.1,422074
2024-11-29,153.1,157.98,152.88,157.07,231555
2024-12-02,157.07,159.31,156.72,158.91,619674
2024-12-03,158.91,159.13,155.37,155.63,238252
2024-12-04,155.63,156.69,155.19,156.17,564395
2024-12-05,156.17,156.86,156.12,156.53,712643
2024-12-06,156.53,157.21,156.24,156.53,543775
2024-12-09,156.53,165.11,155.06,163.14,263348
2024-12-10,163.14,164.83,162.05,164.09,183988
2024-12-11,164.09,165.21,162.37,164.73,850112
2024-12-12,164.73,167.47,163.64,167.02,388626
2024-12-13,167.02,167.74,166.73,167.69,821823
2024-12-16,167.69,167.94,167.27,167.42,970285
2024-12-17,167.42,167.66,160.8,160.98,871814
2024-12-18,160.98,162.05,159.28,161.69,248608
2024-12-19,161.69,167.37,160.86,165.88,475200
2024-12-20,165.88,165.94,164.02,165.07,311901
2024-12-23,165.07,168.86,163.35,168.28,367188
2024-12-24,168.28,171.7,166.52,171.26,540327
2024-12-25,171.26,173.69,171.19,173.38,687328
2024-12-26,173.38,174.41,170.34,171.57,637700
2024-12-27,171.57,172.78,170.31,171.08,725318
2024-12-30,171.08,176.5,169.47,175.75,751074
2024-12-31,175.75,176.3,171.07,172.66,223667
2025-01-01,172.66,175.04,171.61,174.31,181094
2025-01-02,174.31,175.01,170.81,171.13,328045
2025-01-03,171.13,174.72,168.78,174.1,711348
2025-01-06,174.1,174.72,172.41,174.29,570368
