Date,Open,High,Low,Close,Volume
2024-08-20,240.0,240.16,236.49,237.05,779719
2024-08-21,237.05,240.72,236.09,238.85,321717
2024-08-22,238.85,239.68,235.63,236.07,285869
2024-08-23,236.07,240.33,235.2,239.24,376898
2024-08-26,239.24,240.05,235.3,236.88,405291
2024-08-27,236.88,246.18,235.42,242.96,598857
2024-08-28,242.96,244.93,241.82,243.21,603608
2024-08-29,243.21,244.75,239.15,239.36,714329
2024-08-30,239.36,240.57,233.67,234.99,849255
2024-09-02,234.99,235.09,231.57,233.4,768615
2024-09-03,233.4,240.94,232.98,239.37,936807
2024-09-04,239.37,241.74,237.27,240.13,542631
2024-09-05,240.13,243.18,236.62,243.04,563176
2024-09-06,243.04,247.32,241.42,245.55,929516
2024-09-09,245.55,245.99,238.19,239.68,229645
2024-09-10,239.68,240.08,239.22,239.66,185668
2024-09-11,239.66,240.12,232.53,233.0,977991
2024-09-12,233.0,233.62,230.97,231.03,238854
2024-09-13,231.03,232.98,230.46,232.56,360624
2024-09-16,232.56,233.23,225.86,225.86,783678
2024-09-17,225.86,227.3,223.21,226.0,826303
2024-09-18,226.0,226.93,225.76,226.92,301551
2024-09-19,226.92,227.83,224.08,225.35,198418
2024-09-20,225.35,228.2,223.43,224.47,574095
2024-09-23,224.47,229.45,223.28,228.58,302371
2024-09-24,228.58,233.67,227.38,231.53,372881
2024-09-25,231.53,232.57,230.67,230.75,133973
2024-09-26,230.75,232.98,230.63,232.18,388765
2024-09-27,232.18,233.31,230.12,232.95,826966
2024-09-30,232.95,232.96,229.67,230.89,400194
2024-10-01,230.89,232.71,222.89,225.71,194336
2024-10-02,225.71,226.23,221.03,221.92,783406
2024-10-03,221.92,222.23,219.39,219.79,718516
2024-10-04,219.79,222.27,219.56,221.35,158452
2024-10-07,221.35,225.34,219.5,224.82,305996
2024-10-08,224.82,226.72,219.78,221.16,500219
2024-10-09,221.16,222.33,220.88,222.12,634592
2024-10-10,222.12,222.44,219.73,220.89,913513
2024-10-11,220.89,221.7,217.44,219.03,963713
2024-10-14,219.03,219.98,210.64,213.02,957833
2024-10-15,213.02,219.65,212.09,217.57,194336
2024-10-16,217.57,217.71,213.46,216.08,416991
2024-10-17,216.08,218.33,215.82,216.95,569844
2024-10-18,216.95,220.05,215.93,218.71,829467
2024-10-21,218.71,221.54,214.63,214.98,878291
2024-10-22,214.98,215.57,209.4,209.98,301231
2024-10-23,209.98,210.68,205.24,206.59,647727
